DATE,HEURE DE DÉBUT,HEURE DE FIN,SALLE,BUT,Motif,OK RDE,OK KBR
31/08/2026,14h00,15h30,H.018,S5-DEV-FC,Rentrée,OK,A INTEGRER
31/08/2026,14h00,15h30,H.018,S5-CREACOM-FC,Rentrée,OK,A INTEGRER
02/09/2026,9h00,11h00,H.018,S1,Rentrée,OK,A INTEGRER
02/09/2026,14h00,15h30,H.018,S3-DEV-FI,Rentrée,OK,A INTEGRER
08/09/2026,9h30,12h30,H.018,S1,Echange IA,OK,A INTEGRER
08/09/2026,17h00,18h30,A.018,S1,Présentation des services aux nouveaux étudiants,OK,A INTEGRER
14/09/2026,9h30,11h00,H.018,S3-DEV-FC,Rentrée,OK,A INTEGRER
14/09/2026,9h30,11h00,H.018,S3-CREACOM-FC,Rentrée,OK,A INTEGRER
02/09/2026,15h30,17h00,H.018,S5-DEV-FI,Rentrée,OK,A INTEGRER
17/09/2026,9h30,11h00,Amphi GMP/GEII,S1,VSS - Interventions,OK,A INTEGRER
à définir pour mi-avril,,,,ADMIN,Date de début de stages BUT3,A FIXER,EN ATTENTE RDE
à définir pour mi-avril,,,,ADMIN,Date de début de stages BUT2,A FIXER,EN ATTENTE RDE
